Пользователь №1: Moderator; Guest; Guest; Moderator
Пользователь №2: None; User; Administrator; None
Пользователь №3: Administrator; Administrator; None; Guest
Пользователь №4: None; None; User; User
Пользователь №5: Administrator; Administrator; Administrator; Guest
Пользователь №6: None; Guest; Administrator; None
Пользователь №7: Administrator; Moderator; Guest; Guest
Пользователь №8: None; None; User; User
Пользователь №9: User; None; None; Administrator
Пользователь №10: Guest; Administrator; Administrator; User
Пользователь №11: Administrator; Guest; Guest; Guest
Пользователь №12: Moderator; None; Guest; User
Пользователь №13: Moderator; Guest; Administrator; None
Пользователь №14: Guest; User; Administrator; User
Пользователь №15: User; None; Moderator; Guest
Пользователь №16: Guest; Moderator; None; Moderator
Пользователь №17: Guest; Moderator; Administrator; None
Пользователь №18: Administrator; Moderator; None; Administrator
Пользователь №19: Administrator; Guest; User; Moderator
Пользователь №20: None; User; User; Administrator
Пользователь №21: User; Administrator; User; Moderator
Пользователь №22: None; User; None; Administrator
Пользователь №23: None; Moderator; User; Guest
Пользователь №24: None; Moderator; Guest; None
Пользователь №25: Guest; User; None; Administrator
Пользователь №26: Guest; Guest; Moderator; None
Пользователь №27: None; None; Guest; None
Пользователь №28: None; Guest; User; Administrator
Пользователь №29: Moderator; Administrator; Administrator; Guest
Пользователь №30: None; Guest; Moderator; Administrator
Пользователь №31: Moderator; Administrator; Administrator; None
Пользователь №32: Guest; Administrator; Moderator; None
Пользователь №33: Administrator; Guest; Guest; Moderator
Пользователь №34: User; User; User; Guest
Пользователь №35: Guest; User; User; None
Пользователь №36: None; None; Moderator; Administrator
Пользователь №37: Guest; Moderator; User; Guest
Пользователь №38: Administrator; Administrator; None; None
Пользователь №39: Moderator; None; Guest; Guest
Пользователь №40: Guest; User; Administrator; Guest
Пользователь №41: Guest; None; None; Administrator
Пользователь №42: Administrator; Administrator; Guest; None
Пользователь №43: Guest; Moderator; None; Moderator
Пользователь №44: Moderator; Moderator; Moderator; Moderator
Пользователь №45: Guest; None; Moderator; User
Администратор: Administrator; Administrator; Administrator; Administrator
